"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""John Mateer rallies Washington State to 29-26 victory over San Diego State""","https://www.yakimaherald.com/ap/sports/john-mateer-rallies-washington-state-to-29-26-victory-over-san-diego-state/article_ed5312b1-a93f-5144-89f0-e161f4bce652.html","2024-10-27 06:46:45","AP","Yakima Herald-republic","United States Of America","Education","English","John Mateer threw two touchdown passes and ran for two scores and Washington State scored the final 15 points to rally for a 29-26 victory over San Diego State. Washington State (7-1), which has won three in a row, led...","https://bloximages.newyork1.vip.townnews.com/yakimaherald.com/content/tncms/assets/v3/editorial/c/06/c06f6c90-73bf-5857-a05c-f21201985924/671de8e8a7156.image.jpg?resize=300%2C200",""
"""Gonzaga's Khalif Battle takes the good with the bad in exhibition loss to Eric Musselman, USC""","https://www.yakimaherald.com/ap/sports/gonzagas-khalif-battle-takes-the-good-with-the-bad-in-exhibition-loss-to-eric-musselman/article_0dd22a38-88b7-513a-af7b-7221cd0ec14f.html","2024-10-27 06:33:40","Theo Lawson - The Spokesman-Review, Spokane, Wash. (TNS)","Yakima Herald-republic","United States Of America","Education","English","Oct. 26—PALM DESERT, Calif. — Khalif Battle rattled off the things that didn't sit well with him after Gonzaga's exhibition opener on Saturday night.","",""
"""Gonzaga rallies, but falls to USC 96-93 in exhibition opener""","https://www.yakimaherald.com/ap/sports/gonzaga-rallies-but-falls-to-usc-96-93-in-exhibition-opener/article_2354b165-9916-534a-8e5c-0b8bbdcf0982.html","2024-10-27 06:33:37","Jim Meehan - The Spokesman-Review, Spokane, Wash. (TNS)","Yakima Herald-republic","United States Of America","Education","English","Oct. 26—PALM DESERT, Calif. — As a general rule, exhibition games tend to be sloppy at times with teams seeing live action against a new opponent.","",""
"""Difference makers: Khalif Battle leads Gonzaga with 20 points in exhibition loss to USC""","https://www.yakimaherald.com/ap/sports/difference-makers-khalif-battle-leads-gonzaga-with-20-points-in-exhibition-loss-to-usc/article_2caff1b2-a49a-5b29-a84d-2d68cd281857.html","2024-10-27 06:32:33","Theo Lawson - The Spokesman-Review, Spokane, Wash. (TNS)","Yakima Herald-republic","United States Of America","Education","English","Oct. 26—Khalif Battle","",""
"""Mateer leads Cougars over San Diego State""","https://www.yakimaherald.com/mateer-leads-cougars-over-san-diego-state/article_0edbee4c-942d-11ef-acee-d30c4a7c84d8.html","2024-10-27 06:31:00","Greg Woods The Spokesman-Review (Spokane)","Yakima Herald-republic","United States Of America","Education","English","SAN DIEGO — John Mateer took a swig of water and smiled. He sat on the bench, about half the field away from the San Diego State end zone, where he had just waltzed in for the game-winning touchdown in...","https://bloximages.newyork1.vip.townnews.com/yakimaherald.com/content/tncms/assets/v3/editorial/a/84/a8415468-8600-575d-96c2-8945b5d5a1fd/671dde76772db.image.jpg?resize=300%2C200",""
"""WSU QB John Mateer leads fourth-quarter comeback over San Diego State""","https://www.yakimaherald.com/sports/college_sports/wsu_sports/wsu-qb-john-mateer-leads-fourth-quarter-comeback-over-san-diego-state/article_e230cd50-f642-57ac-8cbc-ffc6730ff7a7.html","2024-10-27 06:28:05","Greg Woods from The Seattle Times","Yakima Herald-republic","United States Of America","Education","English","Quarterback John Mateer threw for two touchdowns and ran for two more Saturday as WSU erased a two-score deficit in the fourth quarter to top San Diego State 29-26.","https://bloximages.newyork1.vip.townnews.com/yakimaherald.com/content/tncms/assets/v3/editorial/d/39/d39c7972-4786-5e0e-b932-ccaa9cab0c64/671dea05670fc.image.jpg?resize=300%2C200",""
"""Morning Briefing: Oct. 27, 2024""","https://www.yakimaherald.com/morning-briefing-oct-27-2024/article_b881fa9a-9423-11ef-ade2-6fbe77e48770.html","2024-10-27 05:24:00","seastham@yakimaherald.com (steve eastham)","Yakima Herald-republic","United States Of America","Education","English","Football","",""
"""Buchanan runs for 116 yards, 2 TDs, to lead Idaho over Eastern Washington 38-28""","https://www.yakimaherald.com/ap/sports/buchanan-runs-for-116-yards-2-tds-to-lead-idaho-over-eastern-washington-38-28/article_f86d3d89-77fb-55eb-965f-0da0eef0e0ca.html","2024-10-27 05:10:42","AP","Yakima Herald-republic","United States Of America","Education","English","Deshaun Buchanan ran for 116 yards and two touchdowns to lead Idaho to a 38-28 victory over Eastern Washington. Buchanan scored on a 1-yard run late in the third quarter to stretch Idaho’s lead to 24-13. His 12-yard score made...","",""
"""Kraken can’t escape Hurricanes surge, end homestand with 4-1 loss""","https://www.yakimaherald.com/sports/professional_sports/kraken/kraken-can-t-escape-hurricanes-surge-end-homestand-with-4-1-loss/article_32d395eb-c523-53d3-8cf7-07a53bf0c80b.html","2024-10-27 04:47:48","Tim Booth from The Seattle Times","Yakima Herald-republic","United States Of America","Education","English","The Kraken closed out a five-game homestand Saturday night against the Hurricanes with a 4-1 loss, their third straight at Climate Pledge Arena.","",""
"""Penn State QB Drew Allar leaves game after getting hurt late in 1st half""","https://www.yakimaherald.com/ap/sports/penn-state-qb-drew-allar-leaves-game-after-getting-hurt-late-in-1st-half/article_79d3ad79-64ec-55c8-8ed2-5f67b746ddd8.html","2024-10-27 04:43:51","By STEVE MEGARGEE - AP Sports Writer","Yakima Herald-republic","United States Of America","Education","English","Penn State quarterback Drew Allar didn’t play the second half of the third-ranked Nittany Lions’ game with Wisconsin after getting hurt late in the second quarter. Allar had gone into the locker room before the rest of his teammates in...","https://bloximages.newyork1.vip.townnews.com/yakimaherald.com/content/tncms/assets/v3/editorial/e/40/e40f6ba8-849f-5ed0-810f-ede392b1fab9/671dccaa006f7.image.jpg?resize=300%2C200",""
