"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""Jennifer Hudson feels 'most connected' to her Christmas album""","https://www.yardbarker.com/entertainment/articles/jennifer_hudson_feels_most_connected_to_her_christmas_album/s1_17464_41129845","2024-10-27 08:00:00","BANG Showbiz","Yardbarker","United States Of America","Sports","English","Jennifer Hudson admits her new Christmas LP is the record she feels ""the most connected to out of all my albums"". The 'American Idol' alum just dropped the Yuletide collection 'The Gift of Love', and even though it mostly features covers of Xmas classics, the 43-year-old singer says some of the songs are deeply personal to her and her family.","https://us-west-2-gw-2.yardbarker.com/images/yb_white_on_black_medium.jpg",""
"""'I understand': Scott Parker responds to Burnley fans that booed after frustrating QPR stalemate""","https://www.burnleyexpress.net/sport/football/i-understand-scott-parker-responds-to-burnley-fans-that-booed-after-frustrating-qpr-stalemate-4841390","2024-10-27 08:00:00","Matt Scrafton","Burnley Express","United States Of America","Sports","English","Scott Parker admits he has sympathy with the Burnley fans who vented their frustration following the goalless draw with QPR.","https://www.burnleyexpress.net/webimg/b25lY21zOmQ5NGQ5ZGE3LTI2MzItNDY1My05Yjc4LWNlMTMxYjMyNWM1NTo0Nzg5MWJkNi1jMWI3LTQyZmMtYjZiOS03ZDEwZTg0NDJiOGE=.jpg?auto=webp&width=1200",""
"""Olivia Rodrigo set to play Glastonbury 2025 as bosses want 'more high-profile female' stars""","https://www.yardbarker.com/entertainment/articles/olivia_rodrigo_set_to_play_glastonbury_2025_as_bosses_want_more_high_profile_female_stars/s1_17464_41130361","2024-10-27 08:00:00","BANG Showbiz","Yardbarker","United States Of America","Sports","English","Olivia Rodrigo is reportedly being lined up for Glastonbury. The 21-year-old pop star made her debut at the Worthy Farm festival in 2022 - where she memorably performed alongside 'Smile' hitmaker Lily Allen - and is now said to have been invited to make a return.","https://www.yardbarker.com/media/6/b/6b3279e62cfd8c77f23712fa700d26f7b4499506/thumb_16x9/i.php.jpg",""
"""2024 NFL Week 8: The best of Sunday’s games and the standout storylines - CNN""","https://news.google.com/rss/articles/CBMiigFBVV95cUxOTDRKdUhQLVB4dDlaaG9NdkJRX1JoN2xlQ3JhTzliSnk4VlFJNVNmR0xSRXZSYmRmZ0FjNERHNy14THJabDJRRFZNQ09ZcTRqTUtPRkhhdXNYME5vZUlLZlFqMlZfbHEyT1NfYU1VUGxnUE9vZk1TZjJjazd4LTVtWjA4Ukh1S0h5TVHSAYABQVVfeXFMT3RaMHdGQWhFSnV2Wm9oT1F0UXN3ZEI4cTUzTWVPZ2ctSDZCRXVjb2syMG1GblkzdGdENG1NX1U4T2VUYjExVFlJRjhQdWthVHpfazJXZEtPazh6TUthYXZfbmFzZTU1ZDJFeHMxTC1aXzMwQ2FCOXcxWEdBZmNoWmk?oc=5","2024-10-27 08:00:00","","Google News","United States Of America","Sports","English","2024 NFL Week 8: The best of Sunday’s games and the standout storylines CNNLast-minute NFL Week 8 buzz, sleepers, upset picks and predictions ESPNNFL DFS for Week 8: Best DraftKings, FanDuel daily Fantasy football picks include Kareem Hunt, Cade Otton CBS SportsPFT’s Week 8 2024 NFL game previews: Cowboys and 49ers in a must-win game NBC SportsTop NFL matchups to target for Week 8 betting Pro Football Focus","",""
"""East Texas Fishing Report: Oct. 27, 2024""","https://www.marshallnewsmessenger.com/sports/east-texas-fishing-report-oct-27-2024/article_4c5f8019-48d6-5fed-b044-84f7f084ef6a.html","2024-10-27 08:00:00","","Marshallnewsmessenger","United States Of America","Sports","English","Tyler — GOOD. Water normal stain; 75 degrees; 1.37 feet below pool. Fishing patterns are holding steady. Crappie are good with minnows and jigs in 16-20 feet of water on brush. Catfish are good in 10-16 feet of water stink...","https://bloximages.newyork1.vip.townnews.com/marshallnewsmessenger.com/content/tncms/assets/v3/editorial/4/a5/4a58edc5-23c1-54e6-a19a-73ca2e5c7bc5/66d76f8146246.image.jpg?resize=300%2C216",""
"""Weekend Volleyball: Brown County teams fall in district matches""","https://www.brownwoodtx.com/weekend-volleyball-brown-county-teams-fall-in-district-matches/","2024-10-27 07:58:39","Mike Lee","Home - Brownwood Bulletin","United States Of America","Sports","English","Volleyball teams from Brownwood, Bangs and Early lost their district matches over the weekend.","https://www.brownwoodtx.com/wp-content/uploads/sites/83/2024/10/Trinity-Roberts-vs.-Sville-2-768x1140.jpg",""
"""3 takeaways from Auburn's 24-10 win over Kentucky - AL.com""","https://news.google.com/rss/articles/CBMimwFBVV95cUxQV3dnek9GLVBJbW83YXBBNGNzSTlZMTFXdlcxNnhjSl9nRE56bklFeUtlRXZTZkJ1eEg1ZmI5MGNNMWQtTXNfd1R2dS1XVldOUWZnZlVrczhxVXJOaERSUGR5M21CSjhGaU5FMWxOaEdLN3pQYTNIR2ZseDVXdl8xeENVUmI1UU9BUnA4TjNJSkoyckw4b3BDdjBxQdIBrwFBVV95cUxNbzRyNDE1Y2lReDgyckZmdTNqOExaN2pyUVV1YWZhd3JjZzNpQTNScF9FQ05zS0Vhb1RRY01zTU0xUFRIWkxjeDFtOUVJTHJxQmhNQWRuQUh3XzJ1emVMX2dmTjlhQkhiZFFsMnF1OGVweTFtZF96ZXdQanJSd3BGaWNTUWNpMHhybDdRQ1dyOU1najhtNzk4d1R3VDlmZjl6eVlZOW9EX0h3UHd2WUow?oc=5","2024-10-27 07:57:00","","Google News","United States Of America","Sports","English","3 takeaways from Auburn's 24-10 win over Kentucky AL.comKentucky football’s home woes continue as fast start proves to be fool’s gold vs. Auburn Lexington Herald LeaderAuburn Finally Unleashes Jarquez Hunter, Feasts on Wildcats Sports IllustratedAuburn RB Hunter steamrolls UK for 274 yards ESPNTigers top Kentucky in Lexington WKYT","",""
"""Sharks Locker Room: What’s Next for ‘Embarrassing’ Team?""","https://www.yardbarker.com/nhl/articles/sharks_locker_room_whats_next_for_embarrassing_team/s1_17217_41129836","2024-10-27 07:54:49","Sheng Peng, San Jose Hockey Now","Yardbarker","United States Of America","Sports","English","LAS VEGAS — The San Jose Sharks are setting the wrong kind of history...again. The 0-7-2 Sharks lost their ninth-straight to start this season, a 7-3 loss to the Vegas Golden Knights.","https://us-west-2-gw-2.yardbarker.com/images/yb_white_on_black_medium.jpg",""
"""Auburn RB Hunter steamrolls UK for 274 yards - ESPN""","https://news.google.com/rss/articles/CBMisgFBVV95cUxQQ2luX1RjamhaWkUxbVFaZlJkTTc4ODU4aTF5XzdUVEdzVHRkRkZxcFpocS1BeDhUODJTazFFbEF3c1Ayd19pazhxX0xhZUNlMERTNW1PVFpUVldCdnpXMlVVeTc3X2VqbFY5WUs3SVdTeEl2R3JJYXF5NW0wR0tSRThNZ0VnV2RNVkY5V21XSEUydTZTRnpwMXc4aVA0RHQ4Ty1Wblh0azljT0RPUG5vaTdR?oc=5","2024-10-27 07:52:00","","Google News","United States Of America","Sports","English","Auburn RB Hunter steamrolls UK for 274 yards ESPNAre Kentucky football’s hopes of extending bowl streak finished after loss to Auburn? Lexington Herald LeaderAuburn report card: Grading the Tigers road win at Kentucky AL.comKentucky fans see another Lexington letdown as the Wildcats lose at home again KSRTigers' D finishes Auburn Tigers football Rivals.com - Auburn","",""
"""Topuria beats Holloway to retain UFC featherweight title""","http://www.skysports.com/mma/news/12040/13242459/ufc-308-ilia-topuria-retains-featherweight-title-as-max-holloway-suffers-career-first-knockout-defeat","2024-10-27 07:51:00","","Sky Sports","United Kingdom","Sports","English","Ilia Topuria beat Max Holloway to retain the UFC featherweight title at UFC 308 in Abu Dhabi with the American suffering the first knockout defeat of his career.","https://e2.365dm.com/24/10/1920x1080/skysports-ilia-topuria-mma_6729529.jpg",""
